전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,수정전국매출액,개봉일관객수,개봉일매출액,개봉일매출비율,배우가중치,감독가중치,영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,타겟
736,2585630612600000000,3408144,8251736000.0,1044532,258.56306126,136515.0,1003541500.0,45.8,1.15,0.2,이끼,2010-07-14,1.0,드라마,0,0.0,1.0,1,1
1336,2875772604000000000,3399913,9071405870.0,1009214,287.5772604,141837.0,1230056240.0,30.2,0.4,0.05,토이 스토리 4,2019-06-20,0.0,애니메이션,3,1.0,0.0,1,1
1431,2886961406200000000,3389035,7287586982.0,833513,288.69614062,165833.0,1369138680.0,54.4,0.6,0.05,돈,2019-03-20,1.0,범죄,1,0.0,1.0,1,0
736,2421760089700000000,3385706,6203066000.0,822965,242.17600897,126749.0,899784500.0,45.0,0.7,0.1,포화속으로,2010-06-16,1.0,드라마,2,0.0,1.0,1,1
770,2730152007000000000,3379762,9258393070.0,1068672,273.0152007,141261.0,1198527000.0,48.4,0.5,0.05,맨 인 블랙 3,2012-05-24,0.0,액션,2,1.0,0.0,1,0
568,2486702300000000000,3375735,10488833000.0,1368822,248.67023,66278.0,448313500.0,24.3,0.55,0.05,어바웃 타임,2013-12-05,0.0,멜로/로맨스,1,1.0,0.0,1,0
1307,2912829215000000000,3364079,6407047240.0,722563,291.2829215,175397.0,1444258970.0,47.1,1.15,0.1,악인전,2019-05-15,1.0,범죄,0,0.0,0.0,0,0
1057,2421698701900000000,3324861,5558252919.0,723552,242.16987019,195774.0,1210810000.0,14.1,0.35,0.1,슈퍼배드 3,2017-07-26,0.0,애니메이션,3,1.0,0.0,1,0
1036,2759561865100000000,3317196,9150924002.0,1062535,275.95618651,252018.0,2019314800.0,49.1,0.5,0.1,데드풀,2016-02-17,0.0,액션,0,1.0,0.0,1,0
1140,2553221498600000000,3280243,6409220686.0,796658,255.32214986,87136.0,634048900.0,39.6,0.85,0.2,아이 캔 스피크,2017-09-21,1.0,코미디,2,0.0,1.0,1,1
940,2835379633100000000,3273879,9631617574.0,1047074,283.53796331,167315.0,1451624000.0,34.9,0.35,0.15,스타워즈: 깨어난 포스,2015-12-17,0.0,액션,2,1.0,0.0,1,0
983,2644933469400000000,3247558,7328474894.0,864171,264.49334694,135549.0,1065238700.0,40.6,1.05,0.25,분노의 질주: 더 세븐,2015-04-01,0.0,액션,1,1.0,0.0,1,1
1113,2654672512900000000,3239371,7364611329.0,852065,265.46725129,253699.0,2056310900.0,50.8,0.45,0.1,터미네이터 제니시스,2015-07-02,0.0,액션,1,0.0,1.0,1,1
636,3148413560000000000,3227452,14128973600.0,1311034,314.841356,110996.0,1011294000.0,42.7,0.3,0.0333333333333333,그래비티,2013-10-17,0.0,기타,2,1.0,0.0,1,1
1117,2724202946300000000,3189091,6459959863.0,732154,272.42029463,121990.0,738666200.0,26.5,0.55,0.2,마녀,2018-06-27,1.0,기타,1,1.0,0.0,1,0
1041,2686572167800000000,3148038,5989673378.0,680077,268.65721678,235184.0,2043182700.0,23.3,1.05,0.1,탐정: 리턴즈,2018-06-13,1.0,코미디,1,0.0,1.0,1,0
960,2727996750000000000,3130046,8991119500.0,977452,272.799675,182947.0,1711807000.0,67.3,0.65,0.1,캐리비안의 해적: 낯선 조류,2011-05-19,0.0,액션,2,1.0,0.0,1,0
512,2296089000000000000,3125069,5353417500.0,692405,229.6089,65763.0,475927500.0,17.2,0.55,0.1,퀵,2011-07-20,1.0,코미디,1,0.0,1.0,1,1
806,2178420200000000000,3119023,4692878000.0,638882,217.84202,304661.0,2012379500.0,29.3,0.45,0.1,감기,2013-08-14,1.0,드라마,1,0.0,0.0,0,0
1200,2511669011300000000,3100113,7162588413.0,850601,251.16690113,196279.0,1488003800.0,46.5,0.7,0.15,나우 유 씨 미 2,2016-07-13,0.0,범죄,2,0.0,1.0,1,0
405,2199226619800000000,3068544,5451128000.0,718993,219.92266198,97029.0,675408500.0,24.0,0.55,0.05,하모니,2010-01-28,1.0,드라마,2,0.0,1.0,1,1
1357,2497549512200000000,3049894,7206844722.0,839897,249.75495122,206541.0,1614550800.0,58.4,0.8,0.05,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,0.0,액션,2,1.0,0.0,1,1
926,2355898868600000000,3044134,5990587486.0,740243,235.58988686,151161.0,981625100.0,45.6,0.55,0.15,스물,2015-03-25,1.0,코미디,1,0.0,1.0,1,1
733,2252580850000000000,3039889,6890911500.0,885699,225.258085,114775.0,818198500.0,33.3,0.75,0.1,토르: 다크 월드,2013-10-30,0.0,액션,2,1.0,0.0,1,0
512,2285362979400000000,3035116,7700850000.0,975688,228.53629794,171439.0,1341492000.0,20.4,0.8,0.1,방자전,2010-06-02,1.0,기타,0,0.0,1.0,1,0
1605,2455468358800000000,3033052,7611573288.0,880527,245.54683588,122594.0,1006229800.0,35.8,0.7,0.15,인크레더블 2,2018-07-18,0.0,애니메이션,3,1.0,0.0,1,0
739,2151135897000000000,3004647,6308770970.0,841287,215.1135897,131462.0,878807500.0,30.4,0.65,0.05,레드: 더 레전드,2013-07-18,0.0,액션,1,0.0,1.0,1,1
469,2196531300000000000,3001530,6146203500.0,797727,219.65313,60615.0,426782500.0,23.3,0.65,0.1,오싹한 연애,2011-12-01,1.0,기타,2,0.0,1.0,1,0
829,2397993518900000000,3000056,6564340689.0,751931,239.79935189,72041.0,607293700.0,11.1,0.8,0.15,드래곤 길들이기 2,2014-07-23,0.0,애니메이션,3,0.0,1.0,1,1
993,2312911189300000000,2982022,5484309343.0,675698,231.29111893,75882.0,574152500.0,25.1,0.7,0.05,형,2016-11-23,1.0,코미디,2,0.0,1.0,1,1
968,2180468751300000000,2971475,5171825013.0,675887,218.04687513,304184.0,2110674500.0,62.5,0.55,0.2,친구 2,2013-11-14,1.0,액션,0,0.0,1.0,1,0
604,2124132714500000000,2963449,6121058611.0,817210,212.41327145,113921.0,778793500.0,31.5,0.45,0.1,26년,2012-11-29,1.0,액션,1,0.0,0.0,0,0
816,2528336484500000000,2949944,8341418045.0,945989,252.83364845,61992.0,373410100.0,10.7,0.1,0.05,서치,2018-08-29,0.0,드라마,2,1.0,0.0,1,0
585,2196855760000000000,2945137,6379632100.0,817904,219.685576,98066.0,709864100.0,25.7,0.95,0.15,고지전,2011-07-20,1.0,드라마,1,0.0,1.0,1,1
1262,2446788795000000000,2938818,7495864450.0,847621,244.6788795,298816.0,1944957700.0,57.0,1.0,0.2,엑스맨: 아포칼립스,2016-05-25,0.0,액션,2,1.0,0.0,1,0
1047,2379027698700000000,2931897,5681060637.0,679455,237.90276987,168336.0,1257773300.0,47.0,0.55,0.05,프리즌,2017-03-23,1.0,범죄,0,0.0,1.0,1,1
556,2171912302500000000,2921331,6529156500.0,837532,217.19123025,162930.0,1187952500.0,29.2,0.3,0.05,솔트,2010-07-29,0.0,기타,1,1.0,0.0,1,1
1073,2482231693000000000,2917213,6614922790.0,753953,248.2231693,145572.0,1152655840.0,22.7,0.6,0.05,가장 보통의 연애,2019-10-02,1.0,멜로/로맨스,1,0.0,1.0,1,1
472,2115465177900000000,2897477,6343048000.0,823854,211.54651779,58487.0,404683000.0,17.2,0.55,0.1,헬로우 고스트,2010-12-22,1.0,코미디,2,0.0,1.0,1,1
894,2238953589700000000,2860786,5828885297.0,717981,223.89535897,181737.0,1380352500.0,42.9,1.4,0.2,극비수사,2015-06-18,1.0,드라마,1,0.0,1.0,1,0
665,2225635930000000000,2841788,5348606900.0,652750,222.563593,105838.0,713159400.0,19.7,1.0,0.1,표적,2014-04-30,1.0,액션,1,0.0,1.0,1,1
949,2350224993700000000,2839921,7332839937.0,840337,235.02249937,174587.0,1435679500.0,43.7,0.3,0.1,앤트맨,2015-09-03,0.0,액션,2,1.0,0.0,1,1
926,2426848768500000000,2836774,7327248685.0,809402,242.68487685,188655.0,1572116300.0,36.0,0.45,0.15,호빗: 다섯 군대 전투,2014-12-17,0.0,기타,2,1.0,0.0,1,0
962,2367060436900000000,2820029,5852853319.0,666845,236.70604369,99411.0,794659400.0,22.0,0.6,0.05,너의 결혼식,2018-08-22,1.0,멜로/로맨스,2,0.0,0.0,0,0
1028,2343682071600000000,2818993,8241919216.0,910976,234.36820716,158070.0,1283006500.0,45.1,0.45,0.15,호빗: 뜻밖의 여정,2012-12-13,0.0,기타,2,1.0,0.0,1,1
1203,2368263852000000000,2812444,5900912990.0,681266,236.8263852,122458.0,984040250.0,32.4,1.0,0.05,말모이,2019-01-09,1.0,드라마,2,0.0,1.0,1,1
648,2148936767700000000,2812427,6423264777.0,805570,214.89367677,83355.0,613499800.0,29.2,0.45,0.15,메이즈 러너,2014-09-18,0.0,액션,2,1.0,0.0,1,1
718,1990690026600000000,2809053,6430256500.0,866701,199.06900266,146503.0,1017240000.0,46.0,0.4,0.25,해리 포터와 죽음의 성물1,2010-12-15,0.0,기타,3,1.0,0.0,1,0
825,2199311976500000000,2801949,6512949165.0,772249,219.93119765,72487.0,575543100.0,15.4,0.2,0.05,빅 히어로,2015-01-21,0.0,애니메이션,3,1.0,0.0,1,1
1252,2457677184800000000,2792705,9451418198.0,989011,245.76771848,224242.0,1776036300.0,50.4,0.5,0.2,덩케르크,2017-07-20,0.0,액션,2,1.0,0.0,1,1
514,2062975700000000000,2773794,6637598000.0,849251,206.29757,116253.0,834112500.0,23.6,0.3,0.05,혹성탈출: 진화의 시작,2011-08-17,0.0,액션,2,1.0,0.0,1,0
502,2132697793700000000,2766436,7587039000.0,944655,213.26977937,98139.0,719623000.0,48.2,1.2,0.2,부당거래,2010-10-28,1.0,범죄,0,0.0,1.0,1,1
804,2159694634900000000,2744413,5743724849.0,697898,215.96946349,111026.0,852420600.0,25.9,0.45,0.15,메이즈 러너: 스코치 트라이얼,2015-09-16,0.0,액션,2,1.0,0.0,1,0
1218,2345267468600000000,2735719,7669006186.0,854131,234.52674686,422412.0,3708346100.0,36.2,0.65,0.1,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,0.0,액션,2,1.0,0.0,1,0
402,2017115159900000000,2731828,7068438000.0,910652,201.71151599,29598.0,210759000.0,11.2,0.55,0.2,시라노; 연애조작단,2010-09-16,1.0,멜로/로맨스,2,0.0,1.0,1,1
547,2033894800000000000,2721903,6313599000.0,809580,203.38948,96151.0,679366500.0,17.7,0.5,0.1,내가 살인범이다,2012-11-08,1.0,액션,0,0.0,1.0,1,0
691,1914669186900000000,2718227,6322143282.0,855244,191.46691869,146606.0,991772000.0,26.6,0.7,0.1,나우 유 씨 미 : 마술사기단,2013-08-22,0.0,범죄,2,0.0,1.0,1,0
904,2184121458600000000,2718158,6220296286.0,737280,218.41214586,80715.0,483198800.0,11.2,0.85,0.15,미스 페레그린과 이상한 아이들의 집,2016-09-28,0.0,기타,2,1.0,0.0,1,0
694,2214309742900000000,2685508,6821236500.0,798779,221.43097429,148355.0,1232928000.0,69.3,0.9,0.1,타이탄,2010-04-01,0.0,액션,2,1.0,0.0,1,1
1124,2144211414400000000,2675559,4978152594.0,596536,214.42114144,198365.0,1256715400.0,33.0,0.15,0.05,곤지암,2018-03-28,1.0,기타,1,0.0,1.0,1,1
641,1825198310000000000,2663170,3769048600.0,518005,182.519831,91705.0,610025500.0,20.8,1.0,0.35,소원,2013-10-02,1.0,드라마,2,0.0,1.0,1,0
1064,2136147949200000000,2656694,5389419142.0,643595,213.61479492,143580.0,1070193300.0,38.6,0.85,0.15,살인자의 기억법,2017-09-06,1.0,범죄,1,0.0,1.0,1,0
665,1890958306500000000,2654817,5571602065.0,745970,189.09583065,198302.0,1355517000.0,41.3,0.45,0.15,브레이킹 던 part2,2012-11-15,0.0,드라마,1,0.0,1.0,1,1
764,2046395697300000000,2625686,4092941173.0,504961,204.63956973,50533.0,376585300.0,12.6,1.0,0.1,탐정 : 더 비기닝,2015-09-24,1.0,코미디,1,0.0,1.0,1,1
792,1899791127800000000,2625572,4787634178.0,630536,189.97911278,193689.0,1296622500.0,20.1,0.3,0.1,미니언즈,2015-07-29,0.0,애니메이션,3,1.0,0.0,1,1
624,1925035450000000000,2621436,5525028500.0,716851,192.503545,272166.0,2084410000.0,21.4,0.35,0.1,후궁 : 제왕의 첩,2012-06-06,1.0,기타,0,0.0,1.0,1,1
1739,2150195922800000000,2614601,5273073728.0,609345,215.01959228,285979.0,2238537300.0,69.7,0.25,0.15,트랜스포머: 최후의 기사,2017-06-21,0.0,액션,2,0.0,1.0,1,0
827,2125343466300000000,2611966,6707397843.0,797790,212.53434663,308768.0,2048249740.0,23.6,0.6,0.1,제이슨 본,2016-07-27,0.0,액션,1,1.0,0.0,1,0
562,2747192636700000000,2603857,9508353500.0,846400,274.71926367,51928.0,559440000.0,23.6,0.4,0.15,드래곤 길들이기,2010-05-20,0.0,애니메이션,3,1.0,1.0,1,0
1163,2080091612800000000,2602273,5390273428.0,652981,208.00916128,89772.0,682198900.0,34.3,0.55,0.05,지금 만나러 갑니다,2018-03-14,1.0,멜로/로맨스,2,0.0,1.0,1,1
1091,2070389993300000000,2601734,6199961913.0,724706,207.03899933,76938.0,617720600.0,20.0,0.15,0.1,도리를 찾아서,2016-07-06,0.0,애니메이션,3,1.0,0.0,1,1
524,1917492050000000000,2595625,5930105000.0,765417,191.749205,64842.0,460557500.0,40.0,0.7,0.15,위험한 상견례,2011-03-31,1.0,코미디,2,0.0,1.0,1,1
1278,2057622666200000000,2594028,5577412282.0,676676,205.76226662,475482.0,2907847000.0,67.4,1.35,0.1,아수라,2016-09-28,1.0,범죄,0,0.0,1.0,1,0
1091,2069753250900000000,2571491,4093422209.0,491530,206.97532509,206706.0,1707833700.0,16.7,1.55,0.05,보안관,2017-05-03,1.0,범죄,1,0.0,1.0,1,0
641,1989429778300000000,2564340,4534671083.0,564420,198.94297783,274404.0,2064901000.0,23.9,0.5,0.2,기술자들,2014-12-24,1.0,범죄,1,0.0,1.0,1,0
1005,2047739251200000000,2539114,6769401012.0,776183,204.77392512,209975.0,1656025500.0,47.8,0.35,0.05,퍼시픽 림,2013-07-11,0.0,액션,2,1.0,0.0,1,1
587,1906376800000000000,2532306,6847701000.0,870595,190.63768,98052.0,711646500.0,32.6,0.25,0.15,엑스맨: 퍼스트 클래스,2011-06-02,0.0,액션,2,1.0,0.0,1,0
924,2145780713400000000,2532051,6360280354.0,702113,214.57807134,73355.0,615508100.0,17.4,0.5,0.15,정글북,2016-06-09,0.0,기타,2,1.0,0.0,1,0
1515,2123647780000000000,2525986,4648048780.0,536034,212.364778,233340.0,1843357430.0,54.8,1.2,0.05,시동,2019-12-18,1.0,드라마,1,0.0,1.0,1,1
1021,2173204259700000000,2524086,4600434447.0,514732,217.32042597,368981.0,3195156400.0,19.9,0.95,0.1,목격자,2018-08-15,1.0,기타,1,0.0,1.0,1,1
726,1937990465500000000,2517805,5360235715.0,656542,193.79904655,182044.0,1298745100.0,11.0,0.15,0.2,마이펫의 이중생활,2016-08-03,0.0,애니메이션,3,1.0,0.0,1,0
1047,2031234893100000000,2516128,4478036341.0,547326,203.12348931,81424.0,633381650.0,20.0,0.65,0.2,증인,2019-02-13,1.0,드라마,2,0.0,1.0,1,1
1019,2011997958700000000,2512572,4696743687.0,564486,201.19979587,157669.0,1177376000.0,36.9,0.55,0.05,조작된 도시,2017-02-09,1.0,범죄,1,0.0,1.0,1,0
466,1788398878700000000,2471721,4304602748.0,568409,178.83988787,149211.0,1076777000.0,12.7,1.5,0.1,반창꼬,2012-12-19,1.0,멜로/로맨스,1,0.0,1.0,1,0
1117,2074429651000000000,2464978,5030225390.0,578800,207.4429651,111652.0,890600310.0,33.5,1.25,0.15,블랙머니,2019-11-13,1.0,범죄,2,0.0,0.0,0,1
1116,1891886970400000000,2450023,4724943504.0,582820,189.18869704,237463.0,1841294400.0,18.0,0.3,0.1,보스 베이비,2017-05-03,0.0,애니메이션,3,0.0,1.0,1,1
548,1845076000000000000,2435211,6041917500.0,760953,184.5076,74855.0,545624000.0,34.0,0.9,0.05,화차,2012-03-08,1.0,기타,1,0.0,0.0,0,0
600,1808744236900000000,2434099,5411949754.0,697152,180.87442369,140700.0,996867500.0,30.5,1.15,0.1,이웃사람,2012-08-22,1.0,기타,0,0.0,1.0,1,1
1249,1969081876400000000,2424330,4072581264.0,490363,196.90818764,142796.0,1062967600.0,46.8,1.15,0.15,조선명탐정: 흡혈괴마의 비밀,2018-02-08,1.0,기타,2,0.0,1.0,1,0
935,1926310063700000000,2420729,4569982837.0,555767,192.63100637,121122.0,916887400.0,31.1,0.65,0.1,재심,2017-02-15,1.0,드라마,1,0.0,1.0,1,0
1601,2081658311800000000,2414062,6579253518.0,721713,208.16583118,272339.0,2276842950.0,51.0,0.35,0.25,신비한 동물들과 그린델왈드의 범죄,2018-11-14,0.0,기타,2,1.0,0.0,1,1
1315,2015389583000000000,2409062,5463141420.0,622505,201.5389583,269270.0,1695339390.0,39.7,0.25,0.1,터미네이터: 다크 페이트,2019-10-30,0.0,액션,1,1.0,0.0,1,1
1174,2000218319400000000,2397792,5593443364.0,654182,200.02183194,184517.0,1438049010.0,39.3,0.85,0.1,사바하,2019-02-20,1.0,기타,1,0.0,1.0,1,1
522,1779704250000000000,2393086,5652134000.0,719601,177.970425,93065.0,671241500.0,23.5,1.35,0.05,의뢰인,2011-09-29,1.0,기타,1,0.0,1.0,1,0
817,1767867679500000000,2391963,5419118695.0,697799,176.78676795,360280.0,2714221500.0,42.2,1.6,0.1,화이: 괴물을 삼킨 아이,2013-10-09,1.0,액션,0,0.0,1.0,1,0
748,1748721300000000000,2376145,6160910500.0,793030,174.87213,201303.0,1506677500.0,48.9,0.35,0.1,007 스카이폴,2012-10-26,0.0,액션,1,1.0,0.0,1,0
537,1776203550000000000,2363955,4095559500.0,516319,177.620355,62553.0,455623500.0,29.9,0.35,0.05,가문의 영광4 - 가문의 수난,2011-09-07,1.0,코미디,1,0.0,1.0,1,0
404,1836143050000000000,2362906,5974758500.0,736580,183.614305,65555.0,486389500.0,14.6,0.35,0.1,블라인드,2011-08-10,1.0,기타,0,0.0,1.0,1,0
1176,1809354379500000000,2359174,4921077395.0,623230,180.93543795,201987.0,1184873200.0,40.1,0.45,0.35,박열,2017-06-28,1.0,드라마,2,0.0,0.0,0,0
547,1683254299700000000,2316099,4836322500.0,633176,168.32542997,138687.0,987603500.0,30.9,0.15,0.05,라스트 갓파더,2010-12-29,1.0,코미디,2,0.0,1.0,1,1
665,1839683635800000000,2315882,5393002858.0,648385,183.96836358,75330.0,567777900.0,21.8,0.55,0.1,스파이(미),2015-05-21,0.0,액션,1,1.0,0.0,1,0
953,1805506230700000000,2310054,4735422707.0,572295,180.55062307,84797.0,612702800.0,19.3,0.75,0.05,모아나,2017-01-12,0.0,애니메이션,3,1.0,0.0,1,1
682,1758109855300000000,2308596,5503312053.0,692896,175.81098553,182891.0,1288811000.0,44.4,0.85,0.15,테이큰 2,2012-09-27,0.0,액션,0,1.0,0.0,1,1
577,1731066997600000000,2304487,5832848500.0,740713,173.10669976,153013.0,1102302500.0,51.6,1.0,0.1,하녀,2010-05-13,1.0,기타,0,0.0,0.0,0,0
1090,1890287310400000000,2299732,5015312604.0,582686,189.02873104,225510.0,1752986100.0,36.2,0.45,0.15,메이즈 러너: 데스 큐어,2018-01-17,0.0,액션,2,1.0,0.0,1,1
750,1953236500300000000,2285143,6377571153.0,732343,195.32365003,145931.0,1162055100.0,13.0,0.5,0.05,맘마미아!2,2018-08-08,0.0,기타,2,1.0,0.0,1,1
811,1785061331600000000,2282744,3736656816.0,471461,178.50613316,139601.0,1062686500.0,37.6,0.95,0.15,호빗: 스마우그의 폐허,2013-12-12,0.0,기타,2,1.0,0.0,1,0
501,1705426242500000000,2282191,6032890000.0,771899,170.54262425,96580.0,697699000.0,35.7,0.6,0.2,나잇&데이,2010-06-24,0.0,액션,1,1.0,0.0,1,1
553,1635322577700000000,2262758,4503892277.0,593487,163.53225777,81130.0,549728500.0,12.3,0.5,0.25,컨저링,2013-09-17,0.0,기타,1,1.0,0.0,1,1
561,2317892561700000000,2261356,8349179500.0,767056,231.78925617,71648.0,790363500.0,30.4,0.25,0.15,슈렉 포에버,2010-07-01,0.0,애니메이션,3,0.0,1.0,1,1
1709,1890624642800000000,2256913,5864824079.0,663637,189.06246428,219794.0,1796011200.0,75.1,0.5,0.2,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,0.0,액션,2,1.0,0.0,1,0
1079,1993310807100000000,2254430,7259199621.0,763259,199.33108071,149784.0,1005005000.0,26.4,0.35,0.15,레디 플레이어 원,2018-03-28,0.0,액션,2,1.0,0.0,1,1
736,1654592150000000000,2241687,4666555500.0,597715,165.459215,387879.0,2837840000.0,39.2,0.8,0.05,배틀쉽,2012-04-11,0.0,기타,2,1.0,0.0,1,1
370,1667091350000000000,2239156,6013564500.0,774620,166.709135,71772.0,507951500.0,15.9,0.65,0.15,셜록홈즈 : 그림자 게임,2011-12-21,0.0,액션,1,1.0,0.0,1,1
812,1931402700000000000,2232179,4908554500.0,528995,193.14027,201006.0,1882329500.0,35.9,0.55,0.1,7광구,2011-08-04,1.0,기타,1,0.0,1.0,1,1
1429,1967344121400000000,2227671,4585277834.0,513548,196.73441214,332290.0,2693258790.0,47.6,0.75,0.05,타짜: 원 아이드 잭,2019-09-11,1.0,범죄,0,0.0,1.0,1,0
345,1465653550000000000,2199048,3749312000.0,538167,146.565355,46338.0,302867000.0,8.7,1.0,0.05,마당을 나온 암탉,2011-07-28,1.0,애니메이션,3,0.0,1.0,1,1
776,1736012333200000000,2192243,4131865932.0,498114,173.60123332,114540.0,862812600.0,36.8,1.3,0.05,악의 연대기,2015-05-14,1.0,기타,1,0.0,1.0,1,0
841,1771797149900000000,2192172,4859661899.0,586992,177.17971499,152329.0,1184775700.0,31.6,0.35,0.1,강남 1970,2015-01-21,1.0,액션,0,0.0,1.0,1,1
401,2066100023600000000,2182365,7781819000.0,760628,206.61000236,62730.0,645794000.0,46.5,1.1,0.15,이상한 나라의 앨리스,2010-03-04,0.0,기타,3,1.0,0.0,1,1
998,1709296406300000000,2182227,6028385063.0,720823,170.92964063,178949.0,1380655000.0,51.8,0.55,0.2,맨 오브 스틸,2013-06-13,0.0,기타,2,1.0,0.0,1,0
618,1676597036200000000,2167426,5751617500.0,714591,167.65970362,120482.0,888003500.0,37.8,1.65,0.1,황해,2010-12-22,1.0,기타,0,1.0,1.0,1,1
1034,1746858888600000000,2165401,5360314986.0,639541,174.68588886,206944.0,1314211200.0,34.9,0.5,0.05,원더 우먼,2017-05-31,0.0,액션,2,1.0,0.0,1,0
622,1561844095800000000,2164805,4771902000.0,623616,156.18440958,115986.0,848807500.0,55.4,0.9,0.05,초능력자,2010-11-10,1.0,기타,1,0.0,1.0,1,1
1246,1839095505000000000,2146764,4084690170.0,463426,183.9095505,176063.0,1401876520.0,48.5,0.85,0.05,신의 한 수: 귀수편,2019-11-07,1.0,범죄,1,0.0,1.0,1,1
645,1599480300000000000,2142622,4281032000.0,548651,159.94803,110253.0,797132000.0,24.9,0.45,0.1,마이 웨이,2011-12-21,1.0,기타,1,0.0,1.0,1,1
945,1743157007500000000,2138146,5334272375.0,630367,174.31570075,92124.0,703529100.0,28.3,0.15,0.1,겟 아웃,2017-05-17,0.0,기타,1,1.0,0.0,1,1
629,1659205630500000000,2135614,4663682705.0,571741,165.92056305,88406.0,653691400.0,21.3,0.5,0.05,나의 사랑 나의 신부,2014-10-08,1.0,멜로/로맨스,1,0.0,0.0,0,0
841,1691270619500000000,2108273,4380827515.0,527830,169.12706195,122543.0,733983300.0,21.9,1.15,0.05,굿바이 싱글,2016-06-29,1.0,코미디,1,0.0,1.0,1,0
535,1519254172300000000,2105050,4906227000.0,648625,151.92541723,166704.0,1199848500.0,42.7,0.45,0.05,이클립스,2010-07-07,0.0,기타,2,0.0,1.0,1,1
540,1500072250000000000,2095375,3543306000.0,469536,150.007225,83490.0,568232000.0,23.1,0.55,0.05,몽타주,2013-05-16,1.0,기타,1,0.0,1.0,1,0
1117,1790077552400000000,2087474,4530609774.0,518726,179.00775524,108903.0,872730650.0,24.7,0.45,0.1,명당,2018-09-19,1.0,기타,2,0.0,0.0,0,0
582,1606617494000000000,2084457,4940277040.0,611415,160.6617494,115832.0,843053300.0,29.3,0.75,0.2,논스톱,2014-02-27,0.0,액션,1,0.0,1.0,1,1
838,1697388527500000000,2083999,4701340971.0,564863,169.73885275,159066.0,1228257715.0,17.8,0.85,0.25,내부자들: 디 오리지널,2015-12-31,1.0,범죄,0,0.0,1.0,1,0
463,1590162066100000000,2080574,5725361000.0,716536,159.01620661,52709.0,386393000.0,30.0,0.65,0.1,쩨쩨한 로맨스,2010-12-01,1.0,코미디,0,0.0,1.0,1,0
593,1760118850000000000,2080154,5630702000.0,606226,176.011885,79382.0,688623000.0,30.8,0.25,0.05,장화신은 고양이,2012-01-12,0.0,애니메이션,3,0.0,1.0,1,0
585,1615593033200000000,2078492,3815945232.0,472848,161.55930332,97234.0,715548400.0,23.2,0.25,0.1,인투 더 스톰,2014-08-28,0.0,액션,2,1.0,0.0,1,1
954,1759096272300000000,2070084,5779445923.0,655286,175.90962723,256255.0,2278583500.0,25.7,0.6,0.2,로건,2017-03-01,0.0,액션,0,1.0,0.0,1,0
648,1615271713100000000,2053947,5031538031.0,611979,161.52717131,114401.0,867611000.0,18.9,0.55,0.05,뷰티 인사이드,2015-08-20,1.0,기타,2,0.0,1.0,1,0
1017,1685123477800000000,2050909,4721118278.0,538479,168.51234778,568300.0,4728549700.0,29.5,0.35,0.1,혹성탈출: 종의 전쟁,2017-08-15,0.0,액션,2,1.0,0.0,1,0
942,1617213364200000000,2044564,3545320462.0,432216,161.72133642,136701.0,1023319200.0,33.2,0.45,0.05,봉이 김선달,2016-07-06,1.0,기타,2,0.0,1.0,1,1
952,1551408350000000000,2026574,4774266400.0,596745,155.140835,177380.0,1284593200.0,60.3,0.65,0.1,노아,2014-03-20,0.0,기타,1,0.0,1.0,1,0
967,1610728813000000000,2007180,5111304509.0,613536,161.0728813,124146.0,942932000.0,31.6,0.5,0.05,레버넌트: 죽음에서 돌아온 자,2016-01-14,0.0,기타,1,1.0,0.0,1,1
570,1471755253400000000,2003533,4744931500.0,613211,147.17552534,84109.0,600672500.0,37.0,0.35,0.05,페르시아의 왕자: 시간의 모래,2010-05-27,0.0,액션,2,1.0,0.0,1,0
531,1451022230000000000,1979311,3441120300.0,448985,145.102223,98730.0,697196500.0,15.5,1.25,0.05,남자가 사랑할 때,2014-01-22,1.0,멜로/로맨스,1,0.0,1.0,1,1
641,1643945003900000000,1971837,5101800739.0,586398,164.39450039,143617.0,1120414900.0,23.9,1.2,0.1,루시,2014-09-03,0.0,액션,0,1.0,0.0,1,1
919,1703213316600000000,1967721,3777056966.0,424008,170.32133166,81031.0,646188400.0,18.3,1.05,0.05,협상,2018-09-19,1.0,범죄,1,0.0,1.0,1,0
1043,1852766166700000000,1949372,5508845197.0,540123,185.27661667,264263.0,2662761200.0,16.9,0.25,0.05,알리타: 배틀 엔젤,2019-02-05,0.0,액션,2,1.0,0.0,1,0
1006,1552685873800000000,1934192,3970570338.0,472569,155.26858738,154719.0,1145172900.0,16.5,0.25,0.15,애나벨 : 인형의 주인,2017-08-10,0.0,기타,1,1.0,0.0,1,0
635,1573795622900000000,1926201,3866716509.0,453800,157.37956229,73335.0,565533720.0,16.0,0.5,0.25,컨저링 2,2016-06-09,0.0,기타,1,1.0,0.0,1,0
634,1311357900000000000,1923748,2894499000.0,398526,131.13579,63108.0,419327500.0,13.0,0.45,0.05,터보,2013-07-25,0.0,애니메이션,3,0.0,1.0,1,1
