,영화명,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,개봉연도,평균 제작비,국내배급사,상장배급사,주요배급사,개봉일관객수,개봉일매출액,개봉일매출비율,타겟,대표코드
301,오늘의 연애,2015-01-14,1.0,709,14924654487,1891993,3951958987.0,480061,멜로/로맨스,1,1,2015,19.9,0.0,1.0,1,133838.0,1032903000.0,26.7,0,20142407
302,글러브,2011-01-20,1.0,605,13757574500,1888100,3986844000.0,520939,드라마,3,1,2011,22.7,0.0,1.0,1,69230.0,489326000.0,31.0,1,20102416
303,퍼시 잭슨과 번개 도둑,2010-02-11,0.0,353,13372357257,1877226,3823887000.0,508812,판타지,2,1,2010,21.6,1.0,0.0,1,88942.0,622041500.0,21.2,0,20090923
304,해결사,2010-09-09,1.0,524,14063913437,1873327,3623264000.0,456531,액션,1,1,2010,21.6,0.0,1.0,1,76637.0,555356000.0,37.0,0,20100305
305,연애의 온도,2013-03-21,1.0,567,13798864446,1865195,4915094946.0,642588,멜로/로맨스,0,1,2013,21.4,0.0,1.0,1,90935.0,617431000.0,35.6,0,20128690
306,아이들...,2011-02-17,1.0,504,13562608500,1864408,3413341000.0,443026,범죄,1,1,2011,22.7,0.0,1.0,1,120980.0,842446000.0,29.2,1,20119341
307,마약왕,2018-12-19,1.0,1297,16222446942,1864076,3961025202.0,444222,범죄,0,1,2018,26.8,0.0,1.0,1,250106.0,2045376200.0,41.0,0,20168773
308,테이큰 3,2015-01-01,0.0,616,15088105000,1860934,4082036100.0,487343,액션,1,1,2015,19.9,1.0,0.0,1,321653.0,2644551100.0,17.5,0,20143642
309,코리아,2012-05-03,1.0,537,13334762500,1857392,3257620500.0,430385,드라마,2,1,2012,20.3,0.0,1.0,1,68660.0,479262000.0,18.3,0,20124045
310,지.아이.조 2,2013-03-28,0.0,766,14457048500,1855917,4297507500.0,525451,액션,1,1,2013,21.4,0.0,1.0,1,119732.0,916710500.0,46.8,0,20113972
311,노무현입니다,2017-05-25,1.0,775,14554935612,1854867,3471668912.0,427607,다큐멘터리,2,1,2017,26.3,0.0,1.0,0,78816.0,586213900.0,20.9,0,20174602
312,집으로 가는 길,2013-12-11,1.0,740,13048519745,1854625,3235828745.0,440958,드라마,1,1,2013,21.4,0.0,1.0,1,90148.0,604185500.0,29.1,1,20134123
313,악마를 보았다,2010-08-12,1.0,494,14148937025,1848418,4418565000.0,551368,스릴러,0,1,2010,21.6,0.0,1.0,1,116046.0,857746500.0,21.9,1,20100301
314,뺑반,2019-01-30,1.0,1285,15222811848,1826714,3228907718.0,376646,범죄,1,1,2019,29.0,0.0,1.0,1,253727.0,1520316950.0,24.2,1,20180868
315,나의 PS 파트너,2012-12-06,1.0,552,13845218616,1823116,4448949593.0,564999,멜로/로맨스,0,1,2012,20.3,0.0,1.0,1,72532.0,518342500.0,25.4,0,20124936
316,007 스펙터,2015-11-11,0.0,1105,14302132030,1820842,4498038930.0,548085,액션,1,1,2015,19.9,1.0,0.0,1,186718.0,1439987500.0,39.2,1,20157432
317,변신,2019-08-21,1.0,975,15417922925,1804112,3329066895.0,375676,공포(호러),1,1,2019,29.0,0.0,0.0,0,97117.0,817343910.0,21.9,0,20184543
318,분노의 질주: 더 맥시멈,2013-05-22,0.0,656,13203523042,1790457,3808832042.0,490893,액션,1,1,2013,21.4,1.0,0.0,1,88558.0,630548000.0,34.1,0,20135221
319,저스티스 리그,2017-11-15,0.0,1308,14629692795,1786386,4549730995.0,524158,액션,2,1,2017,26.3,1.0,0.0,1,153553.0,1246482600.0,41.2,0,20168221
320,공범,2013-10-24,1.0,611,12333110882,1766285,3073743882.0,413549,스릴러,1,1,2013,21.4,0.0,1.0,1,114573.0,760479500.0,33.1,0,20129606
321,나를 찾아줘(미),2014-10-23,0.0,658,14017716731,1764233,5591958031.0,681067,스릴러,0,1,2014,20.1,1.0,0.0,1,64919.0,479906800.0,26.0,0,20140425
322,대호,2015-12-16,1.0,892,13489904632,1762742,3054751306.0,383850,사극,2,1,2015,19.9,0.0,1.0,1,128396.0,941928500.0,28.5,0,20145171
323,걸리버 여행기,2011-01-27,0.0,513,16441355500,1762070,4505618000.0,442035,코미디,3,1,2011,22.7,1.0,0.0,1,84845.0,786511000.0,29.8,0,20102417
324,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,0.0,1453,13877029723,1754375,3619852653.0,429885,애니메이션,3,1,2019,29.0,1.0,0.0,1,125882.0,942808600.0,30.5,1,20189463
325,이미테이션 게임,2015-02-17,0.0,541,13654746120,1743774,4581883920.0,569958,드라마,1,1,2015,19.9,0.0,0.0,0,75824.0,569536400.0,13.7,1,20141962
326,전설의 주먹,2013-04-10,1.0,724,12732236500,1737253,3596610500.0,473110,드라마,0,1,2013,21.4,0.0,1.0,1,88068.0,610386500.0,41.6,1,20125333
327,제보자,2014-10-02,1.0,676,13371522302,1735640,3805990802.0,474188,드라마,2,1,2014,20.1,0.0,0.0,0,107854.0,785867900.0,22.7,0,20134589
328,씽,2016-12-21,0.0,795,13257953389,1729426,3515441489.0,434689,애니메이션,3,1,2016,24.0,1.0,0.0,1,30628.0,220602700.0,5.0,1,20162025
329,러브픽션,2012-02-29,1.0,617,13200412500,1726202,4746233500.0,593077,멜로/로맨스,1,1,2012,20.3,0.0,1.0,1,165606.0,1188449500.0,40.6,1,20113916
330,킬러의 보디가드,2017-08-30,0.0,482,14020395800,1721757,4048575300.0,488376,액션,1,1,2017,26.3,0.0,0.0,0,123601.0,749584000.0,22.9,0,20171962
331,언터처블: 1%의 우정,2012-03-22,0.0,454,12731016000,1719772,4700697000.0,606387,코미디,2,1,2012,20.3,0.0,1.0,1,46216.0,330076500.0,21.9,0,20124142
332,평양성,2011-01-27,1.0,451,12684530500,1717566,3145453500.0,405140,전쟁,2,1,2011,22.7,0.0,1.0,1,60590.0,425812000.0,16.1,0,20102415
333,샌 안드레아스,2015-06-03,0.0,847,14411907152,1714071,3828644552.0,430540,액션,2,1,2015,19.9,1.0,0.0,1,92875.0,788535900.0,42.2,1,20144682
334,파파로티,2013-03-14,1.0,552,11808286000,1713891,3136119000.0,433742,드라마,1,1,2013,21.4,0.0,1.0,1,59752.0,401270000.0,20.6,1,20129368
335,쥬만지: 새로운 세계,2018-01-03,0.0,791,13814824864,1708672,3546830914.0,421003,액션,2,1,2018,26.8,1.0,0.0,1,124781.0,946055400.0,19.2,1,20171909
336,쎄시봉,2015-02-05,1.0,829,13509581911,1707487,3396629711.0,414692,멜로/로맨스,1,1,2015,19.9,0.0,1.0,1,96139.0,713911500.0,32.2,1,20148188
337,토르: 천둥의 신,2011-04-28,0.0,496,15985407000,1694529,5350815000.0,519905,액션,2,1,2011,22.7,0.0,1.0,1,81994.0,857350000.0,47.2,1,20110211
338,콩: 스컬 아일랜드,2017-03-08,0.0,984,13951644383,1685933,3315501383.0,382935,액션,2,1,2017,26.3,1.0,0.0,1,93804.0,743887100.0,39.5,1,20168183
339,피끓는 청춘,2014-01-22,1.0,679,11688382888,1676040,2648698888.0,362379,코미디,1,1,2014,20.1,0.0,1.0,1,157026.0,1046098500.0,23.2,0,20139881
340,23 아이덴티티,2017-02-22,0.0,952,13609456135,1675798,4134850035.0,490806,스릴러,1,1,2017,26.3,1.0,0.0,1,137005.0,851225800.0,23.7,0,20170241
341,PMC: 더 벙커,2018-12-26,1.0,1081,14024838424,1671548,3416787594.0,394373,액션,1,1,2018,26.8,0.0,1.0,1,219234.0,1365529550.0,30.2,1,20170658
342,마다가스카의 펭귄,2014-12-31,0.0,615,12498978959,1661230,3023319659.0,382230,애니메이션,3,1,2014,20.1,0.0,1.0,1,145138.0,1014987800.0,11.9,1,20149859
343,아이스 에이지 4: 대륙 이동설,2012-07-25,0.0,501,12291809704,1648070,3012620000.0,376094,애니메이션,3,1,2012,20.3,1.0,0.0,1,43227.0,321662000.0,6.1,1,20126667
344,공모자들,2012-08-29,1.0,496,12240964500,1646142,3347272500.0,427942,범죄,0,1,2012,20.3,0.0,0.0,0,97419.0,682434500.0,25.2,1,20124063
345,그대를 사랑합니다,2011-02-17,1.0,242,12005917000,1640351,3938125000.0,517602,드라마,1,0,2011,22.7,0.0,1.0,1,23905.0,168657500.0,5.8,1,20119337
346,임금님의 사건수첩,2017-04-26,1.0,1054,12648793723,1634403,3034042823.0,380247,코미디,2,1,2017,26.3,0.0,1.0,1,108463.0,640011200.0,25.7,0,20161726
347,마다가스카3 : 이번엔 서커스다!,2012-06-06,0.0,564,12494860000,1626704,3690019500.0,447184,애니메이션,3,1,2012,20.3,0.0,1.0,1,226836.0,1791207500.0,18.4,0,20124136
348,걸캅스,2019-05-09,1.0,973,13772604134,1625037,3195307954.0,367990,코미디,1,1,2019,29.0,0.0,1.0,1,74718.0,600962410.0,25.3,0,20184082
349,블랙 스완,2011-02-24,0.0,294,12484096000,1623199,5412384000.0,677998,드라마,0,1,2011,22.7,1.0,0.0,1,45299.0,332753500.0,13.5,1,20119577
350,분노의 질주: 언리미티드,2011-04-20,0.0,457,12292868000,1621973,4007958500.0,504937,스릴러,1,1,2011,22.7,1.0,0.0,1,38205.0,281280500.0,27.8,1,20110185
351,우아한 거짓말,2014-03-13,1.0,555,11694011300,1613392,2889534200.0,382305,드라마,2,1,2014,20.1,0.0,1.0,0,54153.0,385691900.0,20.9,0,20138226
352,하울링,2012-02-16,1.0,550,11765293500,1612554,2751165500.0,355720,범죄,1,1,2012,20.3,0.0,1.0,1,103979.0,735723000.0,30.8,1,20110249
353,두근두근 내 인생,2014-09-03,1.0,629,12191623034,1611519,2557981934.0,322968,드라마,2,1,2014,20.1,0.0,1.0,1,99364.0,715087300.0,15.3,0,20134594
354,사자,2019-07-31,1.0,1405,12917306145,1609737,3155811715.0,380265,미스터리,1,1,2019,29.0,0.0,1.0,1,380092.0,2358170340.0,27.2,0,20180442
355,스타트렉 다크니스,2013-05-30,0.0,607,12964828000,1605271,4797934000.0,557358,액션,2,1,2013,21.4,0.0,1.0,1,73961.0,591687500.0,27.7,0,20123329
356,창궐,2018-10-25,1.0,1351,13275772490,1599290,3015779340.0,352559,사극,1,1,2018,26.8,0.0,1.0,1,156629.0,1238347750.0,53.3,0,20174981
357,로빈 후드,2010-05-13,0.0,555,11746340129,1596574,3818192500.0,492605,액션,1,1,2010,21.6,1.0,0.0,1,73641.0,525724500.0,24.6,0,20090951
358,더 폰,2015-10-22,1.0,794,12309164568,1593694,2963876068.0,366753,스릴러,1,1,2015,19.9,0.0,1.0,1,97241.0,721519700.0,31.3,1,20157464
359,성난황소,2018-11-22,1.0,1010,13236490737,1593386,2517251837.0,293079,범죄,1,1,2018,26.8,0.0,1.0,1,135764.0,1063308250.0,32.1,1,20184481
360,300: 제국의 부활,2014-03-06,0.0,720,13395159700,1593116,4270110800.0,481429,액션,0,1,2014,20.1,1.0,0.0,1,119549.0,965214100.0,46.1,1,20147247
361,라이프 오브 파이,2013-01-01,0.0,392,15812506500,1588373,6744353500.0,631357,어드벤처,3,0,2013,21.4,1.0,0.0,1,161038.0,1465409500.0,14.8,1,20128386
362,무적자,2010-09-16,1.0,416,11816488677,1571432,2859696500.0,358104,드라마,1,1,2010,21.6,0.0,1.0,1,47632.0,346714000.0,18.4,1,20100833
363,위플래쉬,2015-03-12,0.0,436,12445626245,1561815,5238475345.0,635871,드라마,1,0,2015,19.9,0.0,1.0,1,25816.0,193948100.0,9.1,1,20145141
364,범블비,2018-12-25,0.0,1016,13090949707,1561643,3204981287.0,368023,액션,2,1,2018,26.8,0.0,1.0,1,441893.0,3832868850.0,23.3,1,20186281
365,용의자X,2012-10-18,1.0,553,11241013000,1552055,3368822000.0,444111,미스터리,1,1,2012,20.3,0.0,1.0,1,84818.0,587347000.0,30.4,0,20124057
366,도어락,2018-12-05,1.0,954,12694612486,1545442,2808006386.0,326012,스릴러,1,1,2018,26.8,0.0,0.0,0,122978.0,959146850.0,28.3,0,20179230
367,오블리비언,2013-04-11,0.0,634,11165841500,1515356,3772808000.0,484314,액션,1,1,2013,21.4,1.0,0.0,1,90976.0,643618500.0,35.9,1,20134181
368,몬스터 호텔 2,2015-12-24,0.0,686,11088271276,1515104,2466450593.0,325206,애니메이션,3,1,2015,19.9,1.0,0.0,1,57231.0,403348900.0,5.8,1,20154242
369,엑소더스: 신들과 왕들,2014-12-03,0.0,865,12444133926,1511145,3884573126.0,451543,드라마,2,1,2014,20.1,1.0,0.0,1,97384.0,798166600.0,38.4,1,20140842
370,퍼펙트 게임,2011-12-21,1.0,413,11220408500,1507084,3504286500.0,450844,드라마,2,1,2011,22.7,0.0,1.0,1,33304.0,238598000.0,7.5,1,20113260
371,드래곤 길들이기 3,2019-01-30,0.0,971,12340610576,1506942,3246170416.0,369678,애니메이션,3,1,2019,29.0,1.0,0.0,1,124517.0,826467640.0,13.2,1,20186261
372,리틀 포레스트,2018-02-28,1.0,884,11924818185,1505560,3853015885.0,474626,드라마,3,1,2018,26.8,0.0,0.0,0,131350.0,779250900.0,18.7,1,20170841
373,인디펜던스 데이 : 리써전스,2016-06-22,0.0,926,12770879840,1500830,3608327100.0,398361,액션,2,1,2016,24.0,1.0,0.0,1,168049.0,1375371400.0,43.1,0,20150782
374,토이 스토리 3,2010-08-05,0.0,394,14556420970,1484843,5326645000.0,511917,가족,3,1,2010,21.6,1.0,0.0,1,110392.0,1089800500.0,20.8,1,20100377
375,어스,2019-03-27,0.0,1132,12586771104,1475087,4105738924.0,463806,공포(호러),1,1,2019,29.0,1.0,0.0,1,213624.0,1319500490.0,38.0,1,20185352
376,차이나타운,2015-04-29,1.0,551,11989400678,1472006,3327822078.0,395351,범죄,0,1,2015,19.9,0.0,1.0,0,90899.0,623852500.0,18.1,1,20149266
377,스윙키즈,2018-12-19,1.0,984,12077312892,1470753,3606050352.0,421172,드라마,2,1,2018,26.8,0.0,1.0,1,102502.0,776978000.0,15.6,0,20175547
378,부라더,2017-11-02,1.0,889,11590908298,1468301,2357877298.0,287039,코미디,2,1,2017,26.3,0.0,0.0,0,100941.0,746500200.0,27.1,1,20172603
379,해무(海霧),2014-08-13,1.0,584,11631310219,1466830,3232230219.0,393674,드라마,0,1,2014,20.1,0.0,1.0,1,174827.0,1325577900.0,20.1,1,20134082
380,브레이킹 던 part1,2011-11-30,0.0,636,10713863000,1462280,3478893500.0,452507,드라마,1,1,2011,22.7,0.0,1.0,1,109502.0,771132500.0,41.3,0,20110905
381,새미의 어드벤쳐 2,2012-08-01,0.0,486,10805555000,1452872,2214827000.0,279930,애니메이션,3,1,2012,20.3,0.0,1.0,1,68406.0,546963000.0,8.3,1,20126406
382,위대한 개츠비,2013-05-16,0.0,562,10580582143,1445124,4776767643.0,625029,드라마,1,1,2013,21.4,1.0,0.0,1,93346.0,649972500.0,26.4,0,20136219
383,말레피센트 2,2019-10-17,0.0,1108,12191395690,1444952,3153886600.0,352835,어드벤처,2,1,2019,29.0,1.0,0.0,1,70017.0,577899830.0,28.1,1,20191589
384,인간중독,2014-05-14,1.0,682,11284787400,1441964,3245824400.0,399065,멜로/로맨스,0,1,2014,20.1,0.0,1.0,1,89092.0,671799900.0,33.3,0,20133322
385,나의 특별한 형제,2019-05-01,1.0,936,11835049574,1441813,2227671104.0,263613,드라마,2,1,2019,29.0,0.0,1.0,1,133028.0,1031612550.0,10.9,0,20185784
386,다이하드: 굿 데이 투 다이,2013-02-06,0.0,459,10825703000,1438056,2967502000.0,373401,액션,1,1,2013,21.4,1.0,0.0,1,69810.0,502577000.0,13.7,1,20123387
387,탐정 홍길동: 사라진 마을,2016-05-04,1.0,764,11483686845,1426873,2822840805.0,336208,드라마,1,1,2016,24.0,0.0,1.0,1,82893.0,621749000.0,14.0,1,20142406
388,런닝맨,2013-04-04,1.0,567,10011200500,1416053,2410370500.0,324400,액션,1,1,2013,21.4,1.0,0.0,1,63499.0,428871500.0,28.5,1,20126671
389,구르믈 버서난 달처럼,2010-04-28,1.0,509,10408565262,1407681,3349797000.0,432451,사극,1,1,2010,21.6,0.0,0.0,0,40733.0,303046500.0,23.8,1,20090931
390,위대한 쇼맨,2017-12-20,0.0,702,11511889500,1402809,5093464700.0,606546,드라마,2,1,2017,26.3,1.0,0.0,1,40995.0,306750400.0,6.5,0,20179462
391,벤허,2016-09-14,0.0,717,11405870395,1399771,2957265515.0,356087,어드벤처,2,1,2016,24.0,0.0,1.0,1,110492.0,942820700.0,11.3,0,20167839
392,말레피센트,2014-05-29,0.0,554,10776965900,1397526,3434954900.0,423807,액션,2,1,2014,20.1,1.0,0.0,1,56603.0,430000100.0,17.9,0,20148383
393,라스트 에어벤더,2010-08-19,0.0,396,14078896543,1394110,3563315000.0,333170,액션,3,1,2010,21.6,0.0,1.0,1,135385.0,1389114000.0,33.5,1,20100767
394,기억의 밤,2017-11-29,1.0,751,10652346660,1387599,2887719160.0,362973,미스터리,1,1,2017,26.3,0.0,0.0,0,97245.0,561258200.0,17.8,1,20173581
395,골든슬럼버,2018-02-14,1.0,833,11412768798,1387508,2666693198.0,315506,범죄,1,1,2018,26.8,0.0,1.0,1,161564.0,1234112400.0,15.9,1,20168250
396,램페이지,2018-04-12,0.0,909,11951980109,1385511,2979863959.0,329834,액션,2,1,2018,26.8,1.0,0.0,1,74779.0,604887250.0,29.5,0,20176917
397,해피 데스데이,2017-11-08,0.0,714,11003095402,1382480,3024232752.0,365202,공포(호러),1,1,2017,26.3,1.0,0.0,1,45059.0,341139800.0,17.0,1,20174622
398,폼페이: 최후의 날,2014-02-20,0.0,561,10303127700,1373873,3209370000.0,409656,액션,1,1,2014,20.1,0.0,1.0,1,76924.0,547859000.0,19.2,1,20134028
399,브이아이피,2017-08-23,1.0,996,10956621835,1373316,2863320535.0,345963,범죄,0,1,2017,26.3,1.0,0.0,1,174011.0,1323933200.0,33.5,0,20164174
400,특별시민,2017-04-26,1.0,1154,10494768945,1362634,2869531745.0,360598,드라마,1,1,2017,26.3,0.0,1.0,1,186007.0,1114329400.0,44.8,0,20162871
401,퓨리,2014-11-20,0.0,590,10367640686,1362114,3235026086.0,408093,액션,1,1,2014,20.1,1.0,0.0,1,74695.0,544090900.0,18.8,0,20140694
402,차형사,2012-05-30,1.0,433,9752555296,1346754,2184448796.0,283739,코미디,1,1,2012,20.3,0.0,1.0,1,48130.0,343191000.0,15.9,0,20124065
403,은교,2012-04-25,1.0,521,9917728000,1346274,3405009000.0,446283,멜로/로맨스,0,1,2012,20.3,0.0,1.0,1,60122.0,422294000.0,19.6,1,20124066
404,궁합,2018-02-28,1.0,966,10478875438,1340117,2478594738.0,309094,코미디,2,1,2018,26.8,0.0,1.0,1,175057.0,1060297900.0,25.5,1,20150969
405,신들의 전쟁,2011-11-10,0.0,525,11726682000,1338411,4049820000.0,437778,드라마,0,1,2011,22.7,0.0,1.0,1,86454.0,767699500.0,28.2,0,20111987
406,오션스8,2018-06-13,0.0,837,11694325266,1335181,4461638766.0,496738,액션,2,1,2018,26.8,1.0,0.0,1,195523.0,1751397800.0,20.0,0,20184903
407,미스터 고,2013-07-17,1.0,840,9337990000,1328890,2389631500.0,321292,코미디,2,1,2013,21.4,0.0,1.0,1,94955.0,664858000.0,26.5,0,20124082
408,굿 다이노,2016-01-07,0.0,814,9753434238,1328394,2322181446.0,300420,애니메이션,3,1,2016,24.0,1.0,0.0,1,74492.0,523650100.0,16.1,1,20155422
409,드라큘라: 전설의 시작,2014-10-08,0.0,477,10607703908,1321751,3096355208.0,372677,판타지,1,1,2014,20.1,1.0,0.0,1,74586.0,578048300.0,18.8,0,20141261
410,사라진 밤,2018-03-07,1.0,925,10686397316,1314274,2577142716.0,309566,스릴러,1,1,2018,26.8,0.0,0.0,1,57161.0,438121700.0,26.2,1,20178781
411,가디언즈 오브 갤럭시,2014-07-31,0.0,539,11098239184,1311190,4116280484.0,460828,액션,2,1,2014,20.1,1.0,0.0,1,121866.0,964659300.0,10.9,0,20149317
412,간첩,2012-09-20,1.0,576,9316548500,1310895,2407402000.0,326457,드라마,1,1,2012,20.3,0.0,1.0,1,68841.0,450784000.0,21.1,1,20124400
413,월드 인베이젼,2011-03-10,0.0,441,9799358000,1307873,3039985500.0,384389,SF,2,1,2011,22.7,1.0,0.0,1,66551.0,485783000.0,37.3,0,20119707
414,에이리언: 커버넌트,2017-05-09,0.0,841,10745826264,1307226,3395853714.0,396001,SF,1,1,2017,26.3,1.0,0.0,1,279185.0,2310310850.0,23.1,0,20179382
415,장산범,2017-08-17,1.0,711,10332117083,1305145,2153814083.0,257679,미스터리,1,1,2017,26.3,0.0,1.0,1,121834.0,918972900.0,17.7,1,20151003
416,셜록: 유령신부,2016-01-02,0.0,891,9992425049,1278894,3349055436.0,414976,범죄,2,1,2016,24.0,0.0,0.0,0,396224.0,3136359200.0,26.5,1,20157042
417,소스 코드,2011-05-04,0.0,403,9638293500,1277301,3714195000.0,469899,액션,2,1,2011,22.7,0.0,1.0,1,62694.0,458953500.0,21.2,1,20110221
418,간기남,2012-04-11,1.0,356,9356404500,1246185,2480022000.0,313190,코미디,0,1,2012,20.3,0.0,1.0,1,103609.0,800772500.0,11.1,1,20124032
419,유열의 음악앨범,2019-08-28,1.0,1078,10233455040,1245532,2970923290.0,346201,멜로/로맨스,2,1,2019,29.0,0.0,1.0,0,173513.0,1027952800.0,24.8,1,20181416
420,육혈포 강도단,2010-03-18,1.0,319,8784927671,1233582,2278826500.0,302702,코미디,1,1,2010,21.6,0.0,1.0,1,32121.0,221661000.0,17.1,0,20090939
421,메리다와 마법의 숲,2012-09-27,0.0,479,9024766000,1231024,2220052500.0,289140,애니메이션,3,1,2012,20.3,1.0,0.0,1,9784.0,67650500.0,2.3,1,20127634
422,심야의 F.M.,2010-10-14,1.0,422,9328562568,1228673,2982025500.0,373247,스릴러,0,1,2010,21.6,0.0,1.0,1,40351.0,295872500.0,26.0,1,20100302
423,특별수사: 사형수의 편지,2016-06-16,1.0,691,9792082065,1225142,2119260245.0,255249,범죄,1,1,2016,24.0,0.0,1.0,1,75630.0,555899700.0,20.6,0,20159645
424,찌라시: 위험한 소문,2014-02-20,1.0,560,9111648087,1221420,2127543287.0,272430,범죄,1,1,2014,20.1,0.0,1.0,1,91576.0,642206500.0,22.5,1,20139401
425,토탈 리콜,2012-08-15,0.0,448,8958236000,1219637,2911318500.0,378245,SF,1,1,2012,20.3,1.0,0.0,1,250229.0,1856863000.0,17.1,1,20125647
426,결혼전야,2013-11-21,1.0,524,8431504719,1212270,2667346719.0,365215,멜로/로맨스,1,1,2013,21.4,0.0,0.0,0,56240.0,364250000.0,16.8,1,20136061
427,레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,0.0,335,14767125516,1209538,4547529000.0,365095,공포(호러),0,1,2010,21.6,1.0,0.0,1,53947.0,657877500.0,35.0,1,20100811
428,엘리시움,2013-08-29,0.0,588,9017994500,1207732,3172662500.0,403184,SF,0,1,2013,21.4,1.0,0.0,1,132038.0,924420000.0,30.3,1,20137811
429,악녀,2017-06-08,1.0,685,9730720144,1206917,2546959444.0,304997,액션,0,1,2017,26.3,0.0,1.0,1,73305.0,543427900.0,20.7,0,20162343
430,깡철이,2013-10-02,1.0,707,8534777462,1204666,2054267462.0,274966,드라마,1,1,2013,21.4,0.0,1.0,1,134531.0,912569500.0,31.1,0,20123381
431,포드 V 페라리,2019-12-04,0.0,986,10552166680,1202391,3815033750.0,416330,액션,2,1,2019,29.0,1.0,0.0,1,52484.0,435610970.0,15.4,1,20192401
432,시간이탈자,2016-04-13,1.0,733,9729882195,1202058,2733406795.0,325133,스릴러,1,1,2016,24.0,0.0,1.0,1,155917.0,1295199400.0,23.7,1,20142621
433,R2B: 리턴투베이스,2012-08-15,1.0,539,8600489371,1201640,1993557324.0,264850,액션,1,1,2012,20.3,0.0,1.0,1,206793.0,1503244500.0,13.9,1,20124049
434,해빙,2017-03-01,1.0,915,9879737822,1201576,2434113422.0,284100,스릴러,1,1,2017,26.3,0.0,1.0,1,386128.0,3220411500.0,36.3,1,20150971
435,더 웹툰: 예고살인,2013-06-27,1.0,541,8534322070,1201033,2327450570.0,314005,공포(호러),1,1,2013,21.4,0.0,1.0,1,80164.0,546527500.0,21.3,1,20129114
436,생일,2019-04-03,1.0,862,9786575840,1186283,1958959300.0,230586,드라마,3,1,2019,29.0,0.0,1.0,1,45516.0,357545220.0,17.3,0,20183096
437,바람 바람 바람,2018-04-05,1.0,985,9702206675,1183959,2250342475.0,271361,코미디,0,1,2018,26.8,0.0,1.0,1,95534.0,712977000.0,30.1,1,20153447
438,나니아 연대기: 새벽 출정호의 항해,2010-12-08,0.0,502,11276008290,1182228,3347082500.0,323930,판타지,3,1,2010,21.6,1.0,0.0,1,32521.0,333776000.0,22.6,0,20101213
439,빅매치,2014-11-27,1.0,627,8952096578,1177438,2231518478.0,280152,액션,1,1,2014,20.1,0.0,1.0,1,75112.0,542616800.0,21.8,0,20134590
440,"힘을 내요, 미스터 리",2019-09-11,1.0,990,9887863906,1176076,1965170736.0,229545,코미디,2,1,2019,29.0,0.0,1.0,1,55320.0,428802330.0,7.6,1,20187322
441,웜 바디스,2013-03-14,0.0,477,8361708124,1169839,2687807624.0,357532,멜로/로맨스,1,1,2013,21.4,0.0,1.0,1,77239.0,533195000.0,27.4,1,20135241
442,"당신, 거기 있어줄래요",2016-12-14,1.0,767,9361133648,1168625,2667189948.0,319506,판타지,2,1,2016,24.0,0.0,1.0,1,92278.0,677051000.0,22.2,1,20152371
443,동주,2016-02-17,1.0,499,8864695589,1168427,2961796289.0,376321,드라마,2,1,2016,24.0,0.0,0.0,0,19124.0,139569700.0,3.4,1,20158482
444,돈의 맛,2012-05-17,1.0,643,8776870611,1165488,2880753111.0,365067,드라마,0,1,2012,20.3,0.0,1.0,1,118042.0,835563000.0,34.3,0,20124064
445,워크래프트: 전쟁의 서막,2016-06-09,0.0,736,10140269205,1163120,3013648005.0,324321,액션,2,1,2016,24.0,1.0,0.0,1,114226.0,946125700.0,26.8,0,20158150
446,장수상회,2015-04-09,1.0,688,8707389643,1160935,2204750243.0,284742,멜로/로맨스,2,1,2015,19.9,0.0,1.0,1,53241.0,375613800.0,21.8,1,20140703
447,가문의 영광5 - 가문의 귀환,2012-12-19,1.0,447,8330342500,1160021,1681261500.0,224852,코미디,1,1,2012,20.3,0.0,1.0,1,153719.0,1087713500.0,12.8,1,20128687
448,슬로우 비디오,2014-10-02,1.0,618,8840530219,1159787,2288636719.0,286952,드라마,2,1,2014,20.1,1.0,0.0,1,98673.0,716393200.0,20.7,0,20135386
449,항거:유관순 이야기,2019-02-27,1.0,1094,9290065101,1157707,2043598641.0,247961,드라마,2,0,2019,29.0,0.0,1.0,1,99754.0,581266750.0,14.8,1,20196601
450,스타트렉 비욘드,2016-08-17,0.0,716,10193232820,1157472,3559199400.0,381110,액션,2,1,2016,24.0,0.0,1.0,1,83066.0,701970400.0,14.7,0,20150567
451,미씽: 사라진 여자,2016-11-30,1.0,790,8881616256,1153109,2457671256.0,307997,미스터리,1,1,2016,24.0,0.0,0.0,0,139198.0,819369900.0,21.9,1,20153741
452,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,0.0,398,9784305000,1149628,2244305000.0,239683,액션,3,1,2012,20.3,1.0,0.0,1,46776.0,377188000.0,16.0,0,20113653
453,퍼펙트맨,2019-10-02,1.0,894,9604139750,1144894,1544313980.0,178228,코미디,1,1,2019,29.0,0.0,1.0,1,77448.0,607453440.0,12.0,1,20184483
454,용서는 없다,2010-01-07,1.0,334,8737627361,1144238,2656285000.0,332736,범죄,0,1,2010,21.6,0.0,0.0,0,50747.0,374717500.0,13.6,0,20090888
